nom_clean,nom_gare,x,y,Trafic,Ville,ligne
JAURES,Jaurès,48.88292,2.37067,4055461.0,Paris,7bis
JAVELANDRECITROEN,Javel—André Citroën,48.846165,2.278716,1589561.0,Paris,10
JOURDAIN,Jourdain,48.8752,2.389508,1881321.0,Paris,11
JULESJOFFRIN,Jules Joffrin,48.892437,2.344782,2854819.0,Paris,12
JUSSIEU,Jussieu,48.846052,2.355738,2889642.0,Paris,7
JUSSIEU,Jussieu,48.846052,2.355738,2889642.0,Paris,10
KLEBER,Kléber,48.871138,2.293118,724215.0,Paris,6
LACHAPELLE,La Chapelle,48.884411,2.360288,4855531.0,Paris,2
LACOURNEUVEMAI,La Courneuve—8 Mai 1945,48.920777,2.410668,4924444.0,La Courneuve,7
LADEFENSE,La Défense,48.891852,2.238539,9256802.0,Puteaux,1
LAFOURCHE,La Fourche,48.886944,2.325833,1829271.0,Paris,13
LAMOTTEPICQUETGRENELLE,La Motte-Picquet—Grenelle,48.849143,2.29809,5117708.0,Paris,6
LAMOTTEPICQUETGRENELLE,La Motte-Picquet—Grenelle,48.849143,2.29809,5117708.0,Paris,8
LAMOTTEPICQUETGRENELLE,La Motte-Picquet—Grenelle,48.849143,2.29809,5117708.0,Paris,10
LAMUETTE,La Muette,48.857718,2.273719,3010370.0,Paris,9
LATOURMAUBOURG,La Tour-Maubourg,48.857667,2.310399,1361723.0,Paris,8
LAMARCKCAULAINCOURT,Lamarck—Caulaincourt,48.889139,2.338159,1875717.0,Paris,12
LAUMIERE,Laumière,48.885,2.379,3258568.0,Paris,5
LEKREMLINBICETRE,Le Kremlin—Bicêtre,48.810388,2.361849,2925325.0,Le Kremlin-Bicêtre,7
LEPELETIER,Le Peletier,48.87472,2.33955,1677832.0,Paris,7
LEDRUROLLIN,Ledru-Rollin,48.851529,2.37516,2570283.0,Paris,8
LESAGNETTES,Les Agnettes,48.923056,2.285833,1890356.0,"Asnières-sur-Seine, Gennevilliers",13
LESCOURTILLES,Les Courtilles,48.930556,2.283889,2802689.0,"Asnières-sur-Seine, Gennevilliers",13
LESGOBELINS,Les Gobelins,48.8364,2.35225,2365942.0,Paris,7
LESHALLES,Les Halles,48.8625,2.34611,10623876.0,Paris,4
LESSABLONS,Les Sablons,48.880833,2.272222,3954920.0,Neuilly-sur-Seine,1
LIBERTE,Liberté,48.825882,2.407022,1704609.0,Charenton-le-Pont,8
LIEGE,Liège,48.879722,2.326944,1143956.0,Paris,13
LOUISBLANC,Louis Blanc,48.881137,2.364839,1548029.0,Paris,7
LOUISEMICHEL,Louise Michel,48.889273,2.288073,2319185.0,Levallois-Perret,3
LOURMEL,Lourmel,48.838604,2.281817,1696432.0,Paris,8
LOUVRERIVOLI,Louvre—Rivoli,48.86108,2.340283,1869612.0,Paris,1
MABILLON,Mabillon,48.852775,2.335322,1195051.0,Paris,10
MADELEINE,Madeleine,48.86977,2.3244,5330928.0,Paris,8
MADELEINE,Madeleine,48.86977,2.3244,5330928.0,Paris,12
MADELEINE,Madeleine,48.86977,2.3244,5330928.0,Paris,14
MAIRIEDAUBERVILLIERS,Mairie d'Aubervilliers,48.913829,2.380651,0,Aubervilliers,12
MAIRIEDECLICHY,Mairie de Clichy,48.903056,2.306111,4043071.0,Clichy,13
MAIRIEDEMONTREUIL,Mairie de Montreuil,48.862283,2.441847,6158487.0,Montreuil,9
MAIRIEDEMONTROUGE,Mairie de Montrouge,48.81843,2.31953,4316647.0,Montrouge,4
MAIRIESTOUEN,Mairie de Saint-Ouen,48.91167,2.33389,4830810.0,Saint-Ouen-sur-Seine,13
MAIRIESTOUEN,Mairie de Saint-Ouen,48.91167,2.33389,4830810.0,Saint-Ouen-sur-Seine,14
MAIRIEDESLILAS,Mairie des Lilas,48.879788,2.416289,2894622.0,Les Lilas,11
